Temps;plans_coupants;plans_coupants_2;dual_agregge;dual_initial
0;0;0;2;0
1;17;18;18;13
2;26;22;26;18
3;32;31;29;19
4;33;36;32;22
5;38;37;35;22
6;38;42;35;24
7;38;43;35;24
8;40;44;35;26
9;44;46;36;26
10;45;48;36;27
11;45;49;37;27
12;46;50;37;28
13;46;51;38;28
14;46;52;38;28
15;47;52;38;29
16;48;53;38;30
17;49;53;38;30
18;50;53;40;31
19;50;54;40;31
20;50;56;40;32
21;51;57;40;33
22;52;58;41;34
23;54;58;41;35
24;54;58;41;35
25;55;59;45;35
26;56;59;45;35
27;57;59;45;35
28;57;59;45;36
29;57;59;46;36
30;59;60;46;37
31;59;61;46;37
32;59;61;46;37
33;60;61;47;39
34;60;62;47;39
35;61;62;47;39
36;62;64;48;39
37;62;66;48;39
38;63;66;48;40
39;65;66;48;41
40;66;66;48;42
41;66;66;48;42
42;66;67;48;42
43;66;67;48;43
44;66;67;48;43
45;66;67;48;44
46;66;67;48;44
47;66;67;48;44
48;67;68;49;44
49;67;68;49;44
50;67;68;49;44
51;67;68;49;44
52;67;68;50;44
53;68;68;50;44
54;68;68;50;44
55;68;68;50;45
56;68;68;50;45
57;69;69;50;45
58;70;69;50;45
59;70;69;50;45
60;70;69;51;45
61;70;69;52;45
62;70;70;52;45
63;70;70;52;45
64;70;70;52;45
65;72;71;52;45
66;73;72;52;45
67;74;72;53;45
68;77;72;53;45
69;78;72;53;46
70;78;72;53;47
71;79;72;54;47
72;79;72;55;49
73;79;72;55;49
74;79;72;57;50
75;79;72;57;50
76;80;72;57;50
77;80;72;57;50
78;80;72;57;50
79;80;73;57;50
80;80;74;58;50
81;81;74;58;51
82;81;74;58;51
83;81;75;58;51
84;81;75;58;52
85;81;75;58;52
86;81;75;58;52
87;81;75;58;52
88;82;75;58;53
89;82;75;59;53
90;82;75;59;54
91;82;75;59;54
92;82;75;59;55
93;82;75;59;55
94;82;75;59;56
95;82;75;59;56
96;82;75;59;56
97;83;76;60;56
98;83;76;61;56
99;83;76;61;56
100;83;77;61;56
101;83;77;61;56
102;83;77;61;56
103;83;77;61;56
104;83;77;61;56
105;83;77;61;56
106;83;77;61;56
107;83;77;61;56
108;83;77;61;56
109;83;77;61;56
110;83;77;62;57
111;83;77;62;57
112;85;78;62;57
113;85;78;63;57
114;85;78;63;57
115;85;78;64;57
116;86;78;64;58
117;86;78;64;58
118;87;79;64;58
119;87;79;64;58
120;87;79;64;58
121;87;79;64;58
122;87;79;64;58
123;87;79;64;58
124;87;79;64;58
125;87;79;64;58
126;88;79;64;58
127;88;79;64;58
128;88;79;64;58
129;88;79;64;58
130;88;80;64;58
131;88;80;64;58
132;88;81;65;58
133;88;81;66;58
134;88;82;66;58
135;88;82;66;58
136;88;82;66;58
137;88;82;66;58
138;88;82;66;58
139;88;82;67;58
140;88;82;67;59
141;88;82;67;59
142;88;83;67;59
143;88;84;68;60
144;88;84;68;60
145;88;84;68;60
146;89;84;68;60
147;89;84;68;60
148;89;84;68;60
149;89;84;68;60
150;89;84;68;60
151;89;84;68;60
152;89;84;68;60
153;89;84;68;60
154;89;84;68;60
155;89;84;68;60
156;89;85;68;60
157;89;85;68;60
158;89;85;69;60
159;89;85;69;60
160;89;85;69;60
161;89;85;69;60
162;89;85;69;60
163;89;85;69;60
164;89;85;69;60
165;89;85;69;60
166;89;85;69;60
167;89;85;69;60
168;89;85;69;60
169;89;85;69;60
170;89;85;69;60
171;89;85;69;60
172;89;85;69;60
173;89;85;69;61
174;89;86;69;61
175;89;86;69;61
176;89;87;69;62
177;89;87;69;63
178;89;88;69;63
179;89;88;69;63
180;90;88;69;63
181;90;88;69;64
182;91;88;69;64
183;91;88;69;64
184;91;88;69;64
185;91;88;69;64
186;91;88;69;64
187;91;89;69;64
188;92;89;69;64
189;92;89;69;64
190;92;89;69;64
191;92;89;69;64
192;92;89;69;64
193;92;89;69;64
194;92;89;69;64
195;92;89;69;64
196;92;89;69;64
197;92;89;69;64
198;92;89;69;64
199;92;89;69;64
200;92;89;69;64
201;92;89;69;65
202;92;89;69;65
203;92;89;69;65
204;92;89;69;65
205;92;89;69;65
206;92;89;69;65
207;92;89;70;65
208;92;89;70;65
209;92;89;70;65
210;92;89;70;65
211;92;89;70;65
212;92;89;70;65
213;92;89;71;65
214;92;89;71;65
215;93;89;71;65
216;93;90;71;66
217;93;90;71;66
218;93;90;71;66
219;93;90;71;66
220;93;90;71;66
221;93;90;71;67
222;93;90;71;67
223;93;90;71;68
224;93;90;71;68
225;93;90;71;68
226;93;90;71;68
227;93;90;71;68
228;93;90;71;68
229;93;90;71;68
230;93;90;71;68
231;93;90;71;68
232;93;90;71;68
233;93;90;71;68
234;93;90;71;68
235;93;90;71;68
236;93;90;72;68
237;93;90;72;68
238;93;90;72;68
239;93;90;72;68
240;93;90;72;68
241;93;90;72;68
242;93;90;72;68
243;93;91;72;68
244;93;91;72;68
245;93;91;72;68
246;93;91;72;68
247;94;92;72;68
248;94;92;72;68
249;94;92;72;68
250;94;92;73;68
251;94;93;73;68
252;94;93;73;70
253;94;93;73;70
254;94;93;73;70
255;94;93;73;70
256;94;93;73;70
257;94;93;73;70
258;94;93;73;70
259;94;93;73;70
260;94;93;74;70
261;94;93;74;70
262;94;93;74;70
263;94;93;74;70
264;94;93;74;70
265;94;93;74;71
266;94;93;75;71
267;94;93;75;71
268;94;93;75;71
269;94;93;75;71
270;94;93;75;71
271;94;93;75;71
272;94;93;75;71
273;94;93;75;71
274;94;93;75;71
275;94;93;75;71
276;94;93;75;71
277;94;93;75;71
278;94;93;75;71
279;94;93;75;71
280;94;93;75;71
281;94;93;75;71
282;94;94;75;72
283;94;94;75;72
284;94;94;75;72
285;94;94;75;72
286;94;94;75;72
287;94;94;75;72
288;94;94;75;72
289;94;94;75;72
290;94;94;75;72
291;94;94;75;72
292;94;94;76;72
293;94;94;76;72
294;94;94;76;72
295;94;94;76;72
296;94;94;76;72
297;96;94;76;72
298;96;94;76;72
299;96;94;76;72
300;96;94;76;72
301;96;94;76;72
302;96;94;76;72
303;96;94;76;72
304;96;94;76;72
305;96;94;77;72
306;96;94;77;72
307;96;94;77;72
308;96;94;77;72
309;96;94;77;72
310;96;94;77;72
311;96;94;77;72
312;96;94;77;72
313;96;94;77;72
314;96;94;77;72
315;96;94;77;72
316;96;94;77;72
317;96;94;77;72
318;96;95;77;72
319;96;95;77;72
320;96;95;77;72
321;96;95;77;72
322;96;95;77;72
323;96;95;77;72
324;96;95;77;72
325;96;95;77;72
326;96;95;77;72
327;96;95;77;72
328;96;95;78;72
329;97;95;78;72
330;97;95;78;72
331;97;95;78;72
332;97;95;78;73
333;97;95;78;73
334;97;95;78;73
335;97;95;78;73
336;97;95;78;73
337;97;95;78;73
338;97;95;78;73
339;97;95;78;73
340;97;95;78;73
341;97;95;78;74
342;97;95;78;74
343;97;95;78;74
344;97;95;78;74
345;97;95;78;74
346;97;95;78;74
347;97;95;78;74
348;97;95;78;74
349;97;95;78;74
350;97;95;78;74
351;97;95;78;74
352;97;95;78;74
353;97;95;78;74
354;97;95;78;74
355;97;95;78;74
356;97;95;78;74
357;97;95;78;74
358;97;95;78;74
359;97;95;78;74
360;97;95;78;74
361;98;95;78;74
362;98;95;78;74
363;98;95;78;74
364;98;95;79;74
365;98;95;79;74
366;98;95;79;74
367;98;95;79;74
368;98;95;79;74
369;98;95;79;74
370;98;95;79;74
371;98;95;79;74
372;98;95;79;74
373;98;95;79;74
374;98;95;79;74
375;98;95;79;74
376;98;95;79;74
377;98;95;79;74
378;98;95;79;74
379;98;95;79;74
380;98;95;79;74
381;98;95;81;74
382;98;95;81;74
383;98;95;81;74
384;98;95;81;74
385;98;95;81;74
386;98;95;81;74
387;98;95;81;74
388;98;95;81;74
389;98;95;82;74
390;98;95;82;74
391;98;95;82;74
392;98;95;82;74
393;98;95;82;74
394;98;95;82;74
395;98;95;83;74
396;98;95;83;74
397;98;95;83;74
398;98;95;83;74
399;99;95;83;74
400;99;95;83;74
401;99;95;83;74
402;99;95;83;74
403;99;95;83;74
404;99;95;83;74
405;99;95;83;74
406;99;95;83;74
407;99;95;83;74
408;99;95;83;74
409;99;95;83;74
410;99;95;83;74
411;99;95;83;74
412;99;95;83;74
413;99;95;83;74
414;99;95;83;74
415;99;95;83;74
416;99;95;83;74
417;99;95;83;74
418;99;95;84;74
419;99;95;84;74
420;99;95;84;74
421;99;95;84;74
422;99;95;84;74
423;99;95;84;74
424;99;95;84;74
425;99;95;84;74
426;99;95;84;74
427;99;95;84;74
428;99;95;84;74
429;99;95;84;74
430;99;95;84;74
431;99;95;84;74
432;99;95;84;74
433;99;95;84;74
434;99;95;84;74
435;99;95;85;74
436;99;95;85;74
437;99;95;85;74
438;99;95;85;74
439;99;95;85;74
440;99;95;85;74
441;99;95;85;74
442;99;95;85;74
443;99;95;85;74
444;99;96;85;74
445;99;96;85;74
446;99;96;85;74
447;99;96;85;74
448;99;96;85;74
449;99;96;85;74
450;99;96;85;74
451;99;96;85;74
452;99;96;85;74
453;99;96;85;74
454;99;96;85;74
455;99;96;85;74
456;99;96;85;74
457;99;96;85;74
458;99;96;86;74
459;99;96;86;74
460;99;96;86;74
461;99;96;86;74
462;99;96;86;74
463;99;96;86;74
464;99;96;86;74
465;99;96;86;75
466;99;96;86;75
467;99;96;86;75
468;99;96;86;75
469;99;96;86;75
470;99;96;86;75
471;99;96;86;75
472;99;96;86;75
473;99;96;86;75
474;99;96;86;75
475;99;96;86;75
476;100;96;86;75
477;100;96;86;75
478;100;96;86;75
479;100;96;86;75
480;100;96;86;75
481;100;96;86;75
482;100;96;86;75
483;100;96;86;75
484;100;96;86;75
485;100;96;86;75
486;100;96;86;75
487;100;96;86;75
488;100;96;86;75
489;100;96;86;75
490;100;96;86;75
491;100;96;87;75
492;100;96;87;75
493;100;96;87;75
494;100;96;87;76
495;100;97;87;76
496;100;97;87;76
497;100;97;87;76
498;100;97;87;76
499;100;97;87;76
500;100;97;87;76
501;100;97;87;76
502;100;97;87;76
503;100;97;87;76
504;100;97;87;76
505;100;97;88;76
506;100;97;88;76
507;100;97;88;76
508;100;97;88;76
509;101;97;88;76
510;101;97;88;76
511;101;97;88;76
512;101;97;88;76
513;101;97;88;76
514;101;97;88;76
515;101;97;88;76
516;101;97;88;76
517;101;97;88;76
518;101;97;88;76
519;101;97;88;76
520;101;97;88;76
521;101;97;88;76
522;101;97;88;76
523;101;97;88;76
524;101;97;88;76
525;101;97;88;76
526;101;97;88;76
527;101;97;88;76
528;101;97;88;76
529;101;97;88;76
530;101;97;89;76
531;101;97;89;76
532;101;97;89;76
533;101;97;89;76
534;101;97;89;76
535;101;97;89;77
536;101;97;89;77
537;101;97;89;77
538;101;97;89;77
539;101;97;89;77
540;101;97;89;77
541;101;97;89;77
542;101;97;89;77
543;101;97;89;77
544;101;97;89;77
545;101;97;89;77
546;101;97;89;77
547;101;97;89;77
548;101;97;89;77
549;101;97;89;77
550;101;98;89;77
551;101;98;89;77
552;101;98;89;77
553;101;98;89;77
554;101;98;89;77
555;101;98;89;77
556;101;98;89;78
557;101;98;89;78
558;101;98;89;78
559;101;99;89;78
560;101;99;89;78
561;101;99;89;78
562;101;99;89;78
563;101;99;89;78
564;101;99;89;78
565;101;99;89;78
566;101;99;89;78
567;101;99;89;78
568;101;99;89;78
569;101;99;89;78
570;101;99;89;78
571;101;99;89;78
572;101;99;89;78
573;101;99;89;78
574;101;99;89;78
575;101;99;90;78
576;101;99;90;78
577;101;99;90;78
578;101;99;90;78
579;101;99;90;78
580;101;99;90;78
581;101;99;90;78
582;101;99;90;78
583;101;99;90;78
584;101;99;90;78
585;101;99;90;78
586;101;99;90;78
587;101;99;90;78
588;101;99;90;78
589;101;99;90;78
590;101;99;90;78
591;101;99;90;78
592;101;99;90;78
593;101;99;90;78
594;101;99;90;78
595;101;99;90;78
596;101;99;90;78
597;101;99;90;78
598;101;99;90;78
599;101;99;90;78
600;101;99;90;78
