instance,time,ubound,nb_iter
1000_USA-road-d.BAY.gr,9.190774917602539,48250.00000000001,1
1000_USA-road-d.COL.gr,12.444109916687012,29672.76,1
1000_USA-road-d.NY.gr,5.415889024734497,43329.049999999996,1
100_USA-road-d.BAY.gr,0.14609289169311523,10857.06,1
100_USA-road-d.COL.gr,0.11651492118835449,25320.15,1
100_USA-road-d.NY.gr,0.1186368465423584,33931.04,0
1100_USA-road-d.BAY.gr,7.841328859329224,70226.31999999999,1
1100_USA-road-d.COL.gr,8.928642988204956,42766.5,0
1100_USA-road-d.NY.gr,6.430845022201538,71656.23000000001,0
1200_USA-road-d.BAY.gr,7.9856579303741455,76338.22,0
1200_USA-road-d.COL.gr,10.811629056930542,42766.5,0
1200_USA-road-d.NY.gr,7.574815988540649,72565.98999999999,0
120_USA-road-d.BAY.gr,0.24116802215576172,12218.98,1
120_USA-road-d.COL.gr,0.1872110366821289,25582.600000000002,1
120_USA-road-d.NY.gr,0.1656651496887207,31592.039999999997,0
1300_USA-road-d.BAY.gr,8.715214967727661,76715.79,1
1300_USA-road-d.COL.gr,12.403466939926147,42505.7,0
1300_USA-road-d.NY.gr,9.59202790260315,67883.94,1
1400_USA-road-d.BAY.gr,10.704965114593506,79995.28000000001,1
1400_USA-road-d.COL.gr,13.96921992301941,42505.7,0
1400_USA-road-d.NY.gr,10.624664068222046,67883.94,1
140_USA-road-d.BAY.gr,0.23122501373291016,15643.660000000002,0
140_USA-road-d.COL.gr,0.297260046005249,24651.02,1
140_USA-road-d.NY.gr,0.21220707893371582,33079.16,1
1500_USA-road-d.BAY.gr,11.890788793563843,79484.42,0
1500_USA-road-d.COL.gr,15.61464810371399,42505.7,0
1500_USA-road-d.NY.gr,11.421357870101929,66475.47,0
1600_USA-road-d.BAY.gr,12.0469388961792,81914.42,0
1600_USA-road-d.COL.gr,18.1783709526062,42505.7,0
1600_USA-road-d.NY.gr,12.681830167770386,66475.47,0
160_USA-road-d.BAY.gr,0.31366610527038574,13395.74,1
160_USA-road-d.COL.gr,0.25739002227783203,24651.02,1
160_USA-road-d.NY.gr,0.22521591186523438,32640.039999999997,0
1700_USA-road-d.BAY.gr,14.613968849182129,70557.79000000001,0
1700_USA-road-d.COL.gr,21.17096495628357,42505.7,0
1700_USA-road-d.NY.gr,14.475733041763306,66475.47,0
1800_USA-road-d.BAY.gr,15.609646081924438,72511.79000000001,1
1800_USA-road-d.COL.gr,23.925704956054688,42505.7,0
1800_USA-road-d.NY.gr,16.12069296836853,69098.25,1
180_USA-road-d.BAY.gr,0.31884288787841797,13395.74,1
180_USA-road-d.COL.gr,0.3346529006958008,36557.45,0
180_USA-road-d.NY.gr,0.2991061210632324,32640.039999999997,0
1900_USA-road-d.BAY.gr,19.407824993133545,77036.69,0
1900_USA-road-d.COL.gr,104.42401504516602,42505.7,0
1900_USA-road-d.NY.gr,24.129711151123047,69098.25,0
2000_USA-road-d.BAY.gr,22.1019070148468,67603.99999999999,0
2000_USA-road-d.COL.gr,25.073872089385986,49019.12999999999,1
2000_USA-road-d.NY.gr,21.19018292427063,66853.3,1
200_USA-road-d.BAY.gr,0.39511704444885254,13395.74,1
200_USA-road-d.COL.gr,0.35046815872192383,31845.670000000002,1
200_USA-road-d.NY.gr,0.383059024810791,30595.120000000003,1
20_USA-road-d.BAY.gr,0.018973112106323242,15332.560000000001,1
20_USA-road-d.COL.gr,0.0067059993743896484,7076.52,0
20_USA-road-d.NY.gr,0.005881071090698242,9454.470000000001,1
2100_USA-road-d.BAY.gr,20.999495029449463,72250.15999999999,0
2100_USA-road-d.COL.gr,32.27004909515381,43998.7,0
2100_USA-road-d.NY.gr,22.48952603340149,123988.84999999999,0
2200_USA-road-d.BAY.gr,22.93435287475586,80869.20999999999,1
2200_USA-road-d.COL.gr,34.91641902923584,48962.93,0
2200_USA-road-d.NY.gr,25.236527919769287,66853.3,1
2300_USA-road-d.BAY.gr,24.294086933135986,77192.09999999999,0
2300_USA-road-d.COL.gr,38.36371183395386,49019.12999999999,1
2300_USA-road-d.NY.gr,30.01384687423706,123256.84999999999,0
2400_USA-road-d.BAY.gr,42.75302505493164,77192.09999999999,0
2400_USA-road-d.COL.gr,34.97426199913025,49019.12999999999,1
2400_USA-road-d.NY.gr,15.857578039169312,71974.35,0
2500_USA-road-d.BAY.gr,20.775579929351807,73974.15999999999,0
2500_USA-road-d.COL.gr,23.52870202064514,48427.8,1
2500_USA-road-d.NY.gr,18.269779920578003,71974.35,0
250_USA-road-d.BAY.gr,0.593595027923584,19247.969999999998,0
250_USA-road-d.COL.gr,0.39876604080200195,34677.409999999996,0
250_USA-road-d.NY.gr,0.36200690269470215,37057.409999999996,1
350_USA-road-d.BAY.gr,0.8575348854064941,21954.18,1
350_USA-road-d.COL.gr,0.7382421493530273,30611.049999999996,1
350_USA-road-d.NY.gr,0.6162500381469727,45262.89,0
450_USA-road-d.BAY.gr,1.5829341411590576,32288.360000000004,1
450_USA-road-d.COL.gr,1.012878179550171,39223.99999999999,1
450_USA-road-d.NY.gr,0.797468900680542,47080.700000000004,1
550_USA-road-d.BAY.gr,1.6013331413269043,22317.24,1
550_USA-road-d.COL.gr,1.527651071548462,39223.99999999999,1
550_USA-road-d.NY.gr,1.2170720100402832,47814.36,1
650_USA-road-d.BAY.gr,2.4385018348693848,34634.21000000001,1
650_USA-road-d.COL.gr,2.1945791244506836,39223.99999999999,1
650_USA-road-d.NY.gr,1.770421028137207,43329.049999999996,1
750_USA-road-d.BAY.gr,2.746083974838257,46226.95,1
750_USA-road-d.COL.gr,3.2461318969726562,39223.99999999999,1
750_USA-road-d.NY.gr,2.379525899887085,43624.92,1
850_USA-road-d.BAY.gr,3.481832981109619,42201.06,1
850_USA-road-d.COL.gr,3.974078893661499,29672.76,1
850_USA-road-d.NY.gr,2.9216971397399902,43329.049999999996,1
950_USA-road-d.BAY.gr,4.097783088684082,54243.89,1
950_USA-road-d.COL.gr,5.517966032028198,29672.76,1
950_USA-road-d.NY.gr,3.4782397747039795,43329.049999999996,1
