Instance,Temps,UB,nb_iter,Solution
160_USA-road-d.COL.gr,2.575423002243042,24651.02,2,60/ 83/ 117/ 116/ 76/ 93/ 92/ 127/ 126/ 108/ 129
160_USA-road-d.NY.gr,0.2533748149871826,32640.039999999997,0,120/ 54/ 41/ 11/ 124/ 108/ 102/ 123/ 142/ 154
2300_USA-road-d.NY.gr,3.044347047805786,123256.84999999999,0,1785/ 1756/ 1555/ 1554/ 1806/ 1240/ 579/ 1421/ 1705/ 582/ 1810/ 856/ 697/ 866/ 507/ 1044/ 1070/ 1108/ 1082/ 1281/ 517/ 1054/ 2248/ 2042/ 1599/ 728/ 1057/ 1781/ 1753/ 1899/ 1418/ 1928/ 1974
600_USA-road-d.BAY.gr,3.377380847930908,34849.87,9,269/ 506/ 105/ 423/ 565/ 381/ 393/ 511/ 570/ 109/ 585/ 267/ 374/ 569/ 588
1000_USA-road-d.BAY.gr,3.92021107673645,57834.68000000001,13,659/ 657/ 799/ 978/ 616/ 629/ 579/ 355/ 300/ 354/ 112/ 218/ 559/ 875/ 943/ 720/ 395/ 918/ 754/ 786/ 993
600_USA-road-d.COL.gr,1.7720258235931396,40083.82000000001,1,83/ 559/ 489/ 308/ 214/ 373/ 458/ 180/ 125/ 462/ 201/ 595/ 346/ 260/ 389
1700_USA-road-d.BAY.gr,2.601606845855713,70557.79000000001,0,1456/ 1545/ 1161/ 1459/ 1225/ 502/ 938/ 1159/ 1692/ 1639/ 457/ 1674/ 424/ 330/ 1244/ 1213/ 1457/ 1424/ 1265/ 1402/ 1451/ 1572/ 1627
600_USA-road-d.NY.gr,0.9840238094329834,76742.90999999999,2,463/ 521/ 510/ 524/ 352/ 348/ 426/ 423/ 322/ 504/ 141/ 546/ 142/ 147/ 528/ 491/ 489/ 280/ 488
60_USA-road-d.BAY.gr,0.01306295394897461,10633.33,0,21/ 39/ 42/ 10/ 44/ 59
60_USA-road-d.COL.gr,0.1454620361328125,28910.780000000002,3,53/ 30/ 56/ 50/ 23/ 10/ 55/ 45/ 60
60_USA-road-d.NY.gr,0.011553049087524414,31775.839999999997,0,39/ 60/ 48/ 46/ 47/ 59/ 56
650_USA-road-d.BAY.gr,1.279392957687378,34849.87,9,269/ 506/ 105/ 143/ 476/ 381/ 393/ 358/ 445/ 321/ 60/ 375/ 374/ 569/ 588
2400_USA-road-d.BAY.gr,5.779221057891846,77192.09999999999,0,1788/ 1735/ 1177/ 1743/ 1459/ 1900/ 502/ 1411/ 503/ 2089/ 2027/ 457/ 946/ 1272/ 330/ 1621/ 520/ 1962/ 1898/ 1913/ 1891/ 2178/ 2277/ 1627/ 2276/ 2300
650_USA-road-d.COL.gr,1.9962260723114014,40083.82000000001,1,83/ 559/ 215/ 578/ 292/ 492/ 236/ 332/ 625/ 171/ 304/ 469/ 281/ 260/ 389
650_USA-road-d.NY.gr,0.3968348503112793,55303.06,3,576/ 385/ 382/ 335/ 247/ 288/ 598/ 289/ 322/ 546/ 193/ 505/ 304/ 300/ 502/ 481/ 621
1000_USA-road-d.COL.gr,6.353857040405273,37530.58,1,213/ 237/ 687/ 681/ 977/ 659/ 527/ 691/ 110/ 292/ 564/ 246/ 280/ 543/ 576/ 666
1000_USA-road-d.NY.gr,0.8835010528564453,71088.80000000002,2,576/ 454/ 751/ 990/ 320/ 640/ 360/ 910/ 280/ 585/ 697/ 864/ 854/ 694/ 584/ 328/ 510/ 863/ 517/ 759/ 621
100_USA-road-d.BAY.gr,0.0298459529876709,10857.06,1,59/ 44/ 16/ 11/ 14/ 41/ 74
700_USA-road-d.BAY.gr,1.0675880908966064,50078.310000000005,11,664/ 534/ 514/ 615/ 119/ 510/ 535/ 540/ 531/ 287/ 355/ 698/ 641/ 700/ 458/ 466/ 695/ 677
100_USA-road-d.COL.gr,0.02349114418029785,25320.15,3,81/ 59/ 62/ 32/ 74/ 79/ 92/ 93/ 97/ 49/ 71/ 83
100_USA-road-d.NY.gr,0.0279691219329834,33931.04,0,51/ 42/ 54/ 15/ 7/ 16/ 68/ 55/ 96
1100_USA-road-d.BAY.gr,0.8636510372161865,82475.0,1,820/ 616/ 896/ 792/ 970/ 1097/ 582/ 901/ 902/ 861/ 457/ 850/ 424/ 926/ 989/ 859/ 454/ 975/ 786/ 697/ 890/ 1038/ 1082/ 1099
700_USA-road-d.COL.gr,1.650954008102417,40083.82000000001,1,83/ 559/ 215/ 578/ 292/ 247/ 306/ 126/ 423/ 462/ 179/ 159/ 211/ 352/ 389
700_USA-road-d.NY.gr,0.7098150253295898,55303.06,3,576/ 385/ 596/ 534/ 514/ 686/ 681/ 498/ 611/ 347/ 127/ 234/ 304/ 483/ 260/ 481/ 621
750_USA-road-d.BAY.gr,1.2767090797424316,50078.310000000005,11,664/ 534/ 514/ 615/ 212/ 321/ 570/ 358/ 531/ 493/ 611/ 184/ 336/ 700/ 676/ 602/ 695/ 677
1100_USA-road-d.COL.gr,3.062666177749634,42766.5,0,88/ 238/ 331/ 212/ 205/ 568/ 406/ 599/ 652/ 345/ 1043/ 528/ 554/ 529/ 1053
1700_USA-road-d.COL.gr,10.230546951293945,42505.7,0,88/ 238/ 213/ 188/ 1281/ 1635/ 747/ 659/ 1693/ 782/ 1249/ 269/ 309/ 1398/ 1053
1100_USA-road-d.NY.gr,0.9885220527648926,70898.23000000001,1,621/ 646/ 721/ 1053/ 917/ 589/ 1017/ 442/ 507/ 866/ 697/ 585/ 641/ 696/ 581/ 324/ 928/ 443/ 959/ 1095/ 1066
750_USA-road-d.COL.gr,1.8349978923797607,40083.82000000001,1,83/ 431/ 489/ 578/ 393/ 333/ 279/ 658/ 343/ 520/ 59/ 641/ 211/ 352/ 389
1200_USA-road-d.BAY.gr,0.9369471073150635,76338.22,0,1099/ 1082/ 1115/ 1018/ 990/ 1046/ 975/ 454/ 859/ 1045/ 414/ 888/ 438/ 581/ 861/ 902/ 1159/ 860/ 1097/ 862/ 1123/ 826/ 1177
1700_USA-road-d.NY.gr,1.491481065750122,66475.47,0,1133/ 1390/ 1364/ 721/ 1237/ 617/ 1108/ 1070/ 694/ 855/ 866/ 1463/ 585/ 906/ 582/ 1223/ 1683/ 1176/ 1240/ 1547/ 1554/ 1555/ 1307
750_USA-road-d.NY.gr,0.4799611568450928,70898.23000000001,0,621/ 478/ 517/ 618/ 643/ 450/ 242/ 694/ 717/ 716/ 697/ 326/ 392/ 240/ 360/ 444/ 651/ 443/ 578/ 691/ 707
800_USA-road-d.BAY.gr,0.9669930934906006,40441.96,8,588/ 569/ 422/ 267/ 661/ 764/ 535/ 795/ 765/ 794/ 136/ 680/ 479/ 796/ 766
1800_USA-road-d.BAY.gr,2.1189069747924805,72086.61000000002,2,1627/ 1379/ 1451/ 1328/ 1487/ 1301/ 1158/ 520/ 889/ 1776/ 888/ 438/ 1636/ 898/ 1740/ 770/ 1372/ 1579/ 1215/ 1535/ 1177/ 1456/ 1788
1200_USA-road-d.COL.gr,3.1611340045928955,42766.5,0,88/ 238/ 471/ 536/ 361/ 207/ 907/ 793/ 293/ 245/ 938/ 528/ 1000/ 1001/ 1053
800_USA-road-d.COL.gr,2.231084108352661,40083.82000000001,1,83/ 431/ 394/ 779/ 502/ 492/ 458/ 525/ 442/ 471/ 698/ 641/ 281/ 601/ 389
800_USA-road-d.NY.gr,0.3416941165924072,70898.23000000001,0,621/ 478/ 517/ 750/ 700/ 227/ 440/ 694/ 717/ 716/ 697/ 585/ 280/ 787/ 581/ 714/ 496/ 323/ 712/ 758/ 707
80_USA-road-d.BAY.gr,0.021014928817749023,10857.06,1,59/ 44/ 48/ 42/ 25/ 41/ 74
80_USA-road-d.COL.gr,0.010745048522949219,22378.51,0,46/ 65/ 64/ 60/ 69/ 71/ 78/ 76
80_USA-road-d.NY.gr,0.011934995651245117,31775.839999999997,0,39/ 15/ 38/ 46/ 68/ 59/ 56
1200_USA-road-d.NY.gr,0.6168971061706543,72565.98999999999,0,1066/ 1095/ 578/ 938/ 359/ 1153/ 360/ 910/ 906/ 585/ 697/ 866/ 855/ 442/ 1070/ 1117/ 1082/ 477/ 875/ 478/ 722/ 1144
120_USA-road-d.BAY.gr,0.1286461353302002,12218.98,2,74/ 41/ 3/ 55/ 16/ 79/ 59/ 105
120_USA-road-d.COL.gr,0.02416396141052246,25582.600000000002,4,81/ 59/ 62/ 103/ 52/ 29/ 106/ 93/ 76/ 116/ 117/ 83
120_USA-road-d.NY.gr,0.04458117485046387,31592.039999999997,0,110/ 96/ 55/ 97/ 16/ 117/ 60/ 54/ 120
850_USA-road-d.BAY.gr,1.2182879447937012,42706.96,12,659/ 657/ 489/ 599/ 300/ 848/ 681/ 600/ 850/ 424/ 414/ 383/ 434/ 817/ 754/ 786
1300_USA-road-d.BAY.gr,1.0817999839782715,76715.79,2,1099/ 1150/ 1115/ 890/ 1243/ 1046/ 1084/ 1288/ 1273/ 1158/ 969/ 989/ 414/ 963/ 559/ 823/ 1160/ 1237/ 671/ 938/ 1097/ 970/ 939/ 826/ 1177
850_USA-road-d.COL.gr,2.146247148513794,37530.58,1,213/ 237/ 233/ 783/ 406/ 628/ 717/ 130/ 185/ 658/ 330/ 354/ 493/ 724/ 576/ 666
850_USA-road-d.NY.gr,1.367922067642212,55303.06,3,576/ 385/ 596/ 534/ 514/ 462/ 248/ 639/ 516/ 475/ 543/ 505/ 304/ 483/ 623/ 481/ 621
900_USA-road-d.BAY.gr,0.8897249698638916,56990.57,13,820/ 799/ 629/ 579/ 355/ 300/ 354/ 112/ 218/ 595/ 577/ 516/ 720/ 434/ 485/ 846/ 697/ 813/ 845/ 854
1300_USA-road-d.COL.gr,4.310187101364136,42505.7,0,88/ 189/ 1238/ 188/ 172/ 1114/ 747/ 793/ 534/ 245/ 828/ 564/ 479/ 529/ 1053
1300_USA-road-d.NY.gr,0.9970932006835938,67883.94,1,1144/ 1118/ 646/ 1183/ 1243/ 617/ 1117/ 1070/ 1093/ 1068/ 866/ 697/ 856/ 108/ 240/ 581/ 444/ 579/ 1235/ 1223/ 1284/ 691/ 1271/ 1296
1800_USA-road-d.COL.gr,9.660699129104614,42505.7,0,88/ 931/ 1290/ 467/ 1708/ 1352/ 1533/ 1599/ 1601/ 825/ 1679/ 330/ 696/ 1001/ 1053
1400_USA-road-d.BAY.gr,1.2771170139312744,79995.28000000001,1,1177/ 1161/ 939/ 1093/ 760/ 770/ 901/ 1237/ 861/ 581/ 559/ 963/ 516/ 510/ 859/ 1367/ 1332/ 1288/ 1084/ 1153/ 1127/ 1152/ 1224/ 1363/ 1323/ 1338
2400_USA-road-d.COL.gr,20.34791898727417,50172.479999999996,2,88/ 720/ 213/ 312/ 275/ 2050/ 2170/ 903/ 1327/ 61/ 481/ 946/ 2150/ 2006/ 1410/ 2033/ 2153/ 2272
900_USA-road-d.COL.gr,2.8189759254455566,37530.58,1,213/ 237/ 233/ 783/ 660/ 138/ 168/ 194/ 228/ 150/ 653/ 679/ 117/ 319/ 576/ 666
900_USA-road-d.NY.gr,0.6826300621032715,71088.80000000002,2,576/ 703/ 751/ 592/ 496/ 640/ 581/ 396/ 108/ 585/ 697/ 864/ 507/ 442/ 584/ 227/ 245/ 618/ 721/ 478/ 621
1800_USA-road-d.NY.gr,1.953272819519043,69098.25,1,1133/ 621/ 478/ 1171/ 477/ 1559/ 1772/ 1740/ 1720/ 855/ 866/ 1463/ 585/ 447/ 1450/ 360/ 640/ 1176/ 1240/ 1226/ 1554/ 1555/ 1756/ 1785
180_USA-road-d.BAY.gr,0.18407583236694336,13395.74,2,74/ 41/ 129/ 42/ 34/ 79/ 59/ 138/ 159
180_USA-road-d.COL.gr,0.059081077575683594,35789.64000000001,1,83/ 176/ 139/ 166/ 165/ 101/ 126/ 53/ 156/ 99/ 159/ 161
180_USA-road-d.NY.gr,0.05030989646911621,32640.039999999997,0,120/ 122/ 119/ 63/ 88/ 97/ 114/ 96/ 142/ 154
950_USA-road-d.BAY.gr,1.448362112045288,56990.57,14,820/ 616/ 629/ 579/ 883/ 333/ 848/ 681/ 600/ 331/ 577/ 330/ 720/ 395/ 751/ 846/ 697/ 813/ 845/ 854
2400_USA-road-d.NY.gr,2.6483049392700195,71974.35,0,1785/ 1617/ 2355/ 1852/ 595/ 1309/ 1556/ 1592/ 2350/ 2368/ 1584/ 1918/ 1414/ 1799/ 2061/ 2369/ 1952/ 1676/ 2319/ 2336/ 2353/ 2320/ 1974
1900_USA-road-d.BAY.gr,2.1338648796081543,76729.59000000001,1,1580/ 1641/ 1793/ 1215/ 1093/ 1458/ 770/ 671/ 562/ 1120/ 1674/ 963/ 414/ 889/ 1422/ 993/ 1898/ 1363/ 1249/ 1890/ 1572/ 1727/ 1679/ 1834
1400_USA-road-d.COL.gr,5.133680105209351,42505.7,0,88/ 362/ 471/ 1237/ 834/ 612/ 360/ 448/ 293/ 1050/ 1232/ 945/ 554/ 529/ 1053
950_USA-road-d.COL.gr,3.104133129119873,37530.58,1,213/ 237/ 687/ 833/ 862/ 901/ 376/ 105/ 505/ 209/ 388/ 530/ 280/ 724/ 710/ 666
1400_USA-road-d.NY.gr,0.8231709003448486,67883.94,1,1144/ 722/ 1054/ 875/ 618/ 617/ 1117/ 1070/ 1093/ 1068/ 866/ 697/ 856/ 392/ 240/ 1220/ 923/ 1171/ 1235/ 1223/ 1206/ 1270/ 1271/ 1296
140_USA-road-d.BAY.gr,0.04904317855834961,15643.660000000002,0,63/ 58/ 104/ 48/ 99/ 116/ 105/ 130/ 136
140_USA-road-d.COL.gr,0.023507118225097656,24651.02,2,60/ 83/ 117/ 78/ 97/ 138/ 137/ 127/ 126/ 108/ 129
950_USA-road-d.NY.gr,0.555150032043457,71088.80000000002,2,576/ 454/ 751/ 265/ 359/ 324/ 916/ 325/ 392/ 855/ 697/ 864/ 507/ 694/ 440/ 911/ 245/ 477/ 517/ 646/ 621
140_USA-road-d.NY.gr,0.026356935501098633,39267.79,0,134/ 98/ 78/ 108/ 46/ 38/ 41/ 122/ 120/ 140
2500_USA-road-d.BAY.gr,4.771646022796631,73897.13,1,2222/ 2172/ 1862/ 1915/ 2193/ 2180/ 2299/ 1367/ 859/ 1906/ 2269/ 2327/ 1569/ 456/ 1639/ 2365/ 860/ 2364/ 970/ 1123/ 1161/ 2176/ 2225/ 2283/ 2405
1500_USA-road-d.BAY.gr,1.7179319858551025,79379.73000000001,1,1177/ 1161/ 1123/ 1370/ 900/ 582/ 671/ 658/ 1235/ 850/ 424/ 414/ 889/ 1382/ 1478/ 1491/ 1288/ 1361/ 1153/ 1443/ 1152/ 1381/ 1363/ 1323/ 1338
1500_USA-road-d.COL.gr,4.273658990859985,42505.7,0,88/ 238/ 1033/ 1336/ 1236/ 1498/ 1200/ 1221/ 247/ 1103/ 1043/ 945/ 1000/ 1285/ 1053
1500_USA-road-d.NY.gr,0.7669379711151123,66475.47,0,1144/ 1418/ 1054/ 1183/ 1053/ 1254/ 1117/ 1070/ 1093/ 507/ 866/ 1445/ 856/ 1406/ 240/ 360/ 640/ 579/ 1235/ 1223/ 1469/ 1282/ 1296
1900_USA-road-d.COL.gr,9.250800848007202,42505.7,0,88/ 362/ 213/ 518/ 1534/ 409/ 178/ 1510/ 899/ 966/ 1679/ 1528/ 1674/ 1001/ 1053
1600_USA-road-d.BAY.gr,1.4775500297546387,81809.73000000001,1,1329/ 1404/ 1330/ 1115/ 1152/ 1572/ 1153/ 1402/ 1487/ 1424/ 1457/ 1422/ 1045/ 330/ 577/ 1564/ 936/ 791/ 1577/ 1411/ 1372/ 862/ 792/ 826/ 1545/ 1580
1900_USA-road-d.NY.gr,1.3156909942626953,69098.25,0,1133/ 1390/ 1190/ 1171/ 1237/ 617/ 1772/ 1070/ 1044/ 855/ 1724/ 1463/ 326/ 906/ 396/ 916/ 1683/ 1176/ 1240/ 1547/ 1850/ 1826/ 1756/ 1785
2000_USA-road-d.BAY.gr,1.5116348266601562,67603.99999999999,0,1712/ 1862/ 1915/ 1861/ 1869/ 1332/ 1812/ 1065/ 405/ 1518/ 1799/ 946/ 1120/ 1640/ 1237/ 503/ 860/ 825/ 1246/ 1238/ 1161/ 1177/ 1864/ 1918
1600_USA-road-d.COL.gr,4.72934103012085,42505.7,0,88/ 538/ 1401/ 1437/ 759/ 1352/ 1081/ 448/ 1487/ 185/ 767/ 774/ 479/ 1398/ 1053
2500_USA-road-d.COL.gr,11.759099006652832,55495.16,0,88/ 189/ 249/ 1007/ 464/ 1114/ 2014/ 138/ 567/ 2280/ 590/ 1429/ 1477/ 2063/ 1649/ 1630/ 2486/ 2175/ 2391/ 2088
1600_USA-road-d.NY.gr,1.111241102218628,66475.47,0,1133/ 621/ 1190/ 1171/ 298/ 1248/ 1108/ 1070/ 1044/ 855/ 866/ 1463/ 326/ 280/ 240/ 581/ 923/ 579/ 1240/ 1547/ 1554/ 1288/ 1307
160_USA-road-d.BAY.gr,0.08006906509399414,13395.74,2,74/ 41/ 129/ 83/ 75/ 79/ 59/ 105/ 159
2500_USA-road-d.NY.gr,1.8655078411102295,71974.35,0,1792/ 1296/ 1746/ 2385/ 1638/ 2382/ 1673/ 1512/ 2373/ 2029/ 1570/ 2463/ 2112/ 1856/ 2278/ 2374/ 1969/ 2104/ 2414/ 2434/ 2358/ 2317/ 1973
250_USA-road-d.BAY.gr,0.03752303123474121,19247.969999999998,0,159/ 105/ 184/ 136/ 133/ 92/ 194/ 118/ 127/ 224
250_USA-road-d.COL.gr,0.05626702308654785,33725.38,1,83/ 196/ 215/ 195/ 214/ 165/ 164/ 213/ 125/ 48/ 246/ 181/ 161
250_USA-road-d.NY.gr,0.1158750057220459,45551.270000000004,3,147/ 82/ 89/ 190/ 185/ 66/ 208/ 87/ 152/ 204/ 239
300_USA-road-d.BAY.gr,0.11085915565490723,21954.18,2,224/ 127/ 277/ 264/ 256/ 86/ 136/ 84/ 105/ 160/ 269
300_USA-road-d.COL.gr,0.176710844039917,35536.38,1,83/ 196/ 265/ 237/ 214/ 247/ 127/ 263/ 98/ 48/ 201/ 234/ 281/ 260
300_USA-road-d.NY.gr,0.061560869216918945,59376.17,0,239/ 252/ 246/ 254/ 291/ 271/ 258/ 218/ 277/ 166/ 172/ 79/ 275/ 149/ 279
350_USA-road-d.BAY.gr,0.2217540740966797,21954.18,2,224/ 330/ 277/ 264/ 185/ 246/ 290/ 209/ 335/ 284/ 269
350_USA-road-d.COL.gr,0.08762502670288086,39395.56,1,215/ 196/ 256/ 167/ 233/ 86/ 10/ 47/ 314/ 24/ 112/ 302/ 347
350_USA-road-d.NY.gr,0.062345027923583984,45262.89,0,242/ 133/ 210/ 79/ 155/ 83/ 233/ 259/ 300/ 271/ 248/ 350/ 349
400_USA-road-d.BAY.gr,0.17728304862976074,32288.360000000004,5,269/ 160/ 289/ 84/ 276/ 381/ 393/ 358/ 339/ 321/ 60/ 267/ 249/ 382
400_USA-road-d.COL.gr,0.25957417488098145,40083.82000000001,1,83/ 258/ 265/ 237/ 292/ 247/ 127/ 180/ 125/ 156/ 212/ 291/ 211/ 260/ 389
400_USA-road-d.NY.gr,0.13720417022705078,45262.89,0,242/ 133/ 210/ 79/ 172/ 61/ 144/ 323/ 330/ 375/ 291/ 270/ 349
40_USA-road-d.BAY.gr,0.007559061050415039,12664.33,1,29/ 21/ 14/ 19/ 10/ 40
40_USA-road-d.COL.gr,0.006453037261962891,15058.97,0,24/ 36/ 18/ 33/ 28/ 27
40_USA-road-d.NY.gr,0.005938053131103516,17330.100000000002,1,24/ 18/ 28/ 7/ 15/ 39
450_USA-road-d.BAY.gr,0.40498805046081543,32288.360000000004,6,269/ 284/ 428/ 143/ 418/ 381/ 393/ 358/ 445/ 321/ 60/ 267/ 422/ 382
450_USA-road-d.COL.gr,0.48769497871398926,40083.82000000001,1,83/ 258/ 334/ 237/ 292/ 295/ 236/ 155/ 369/ 171/ 304/ 181/ 281/ 260/ 389
2000_USA-road-d.COL.gr,7.801148891448975,50172.479999999996,0,88/ 1622/ 331/ 1387/ 1032/ 1547/ 1900/ 1999/ 1079/ 61/ 1538/ 311/ 1870/ 1912/ 1300/ 1916/ 1871/ 1887
450_USA-road-d.NY.gr,0.32184505462646484,53381.09,0,279/ 290/ 408/ 200/ 27/ 95/ 162/ 71/ 108/ 336/ 439/ 335/ 239/ 360/ 401/ 369/ 431
500_USA-road-d.BAY.gr,0.4119889736175537,41914.73,5,466/ 458/ 474/ 273/ 423/ 476/ 287/ 393/ 358/ 445/ 321/ 498/ 481
500_USA-road-d.COL.gr,0.4890110492706299,40083.82000000001,1,83/ 258/ 265/ 485/ 251/ 109/ 355/ 263/ 442/ 171/ 424/ 469/ 346/ 260/ 389
500_USA-road-d.NY.gr,0.11199212074279785,77352.17,1,463/ 431/ 354/ 449/ 452/ 348/ 270/ 291/ 322/ 258/ 259/ 60/ 493/ 394/ 283/ 491/ 489/ 458/ 488
550_USA-road-d.BAY.gr,0.3129081726074219,48650.29,3,413/ 426/ 438/ 110/ 359/ 532/ 288/ 533/ 382/ 422/ 267/ 212/ 510/ 383/ 511/ 393/ 493/ 373/ 537
550_USA-road-d.COL.gr,0.6378138065338135,40083.82000000001,1,83/ 258/ 489/ 308/ 393/ 109/ 164/ 425/ 98/ 432/ 372/ 234/ 161/ 260/ 389
2000_USA-road-d.NY.gr,2.344184160232544,67589.59,1,1792/ 1604/ 1271/ 1403/ 1286/ 754/ 1622/ 1702/ 662/ 1047/ 1490/ 627/ 1562/ 1439/ 1420/ 1394/ 1943/ 1630/ 954/ 1343/ 1741/ 1950/ 1973
550_USA-road-d.NY.gr,0.14809012413024902,76742.90999999999,1,463/ 521/ 510/ 346/ 525/ 374/ 270/ 476/ 271/ 319/ 141/ 391/ 308/ 394/ 283/ 491/ 489/ 458/ 488
200_USA-road-d.BAY.gr,0.16678595542907715,13395.74,2,74/ 41/ 129/ 141/ 142/ 124/ 100/ 164/ 159
200_USA-road-d.COL.gr,0.05287599563598633,36855.64000000001,1,161/ 181/ 179/ 115/ 125/ 155/ 101/ 109/ 166/ 139/ 117/ 83/ 196
200_USA-road-d.NY.gr,0.055763959884643555,37332.26,0,137/ 125/ 116/ 165/ 11/ 190/ 172/ 184/ 120/ 149
20_USA-road-d.BAY.gr,0.0014688968658447266,15332.560000000001,1,15/ 11/ 13/ 5/ 17
20_USA-road-d.COL.gr,0.0011188983917236328,7076.52,0,12/ 10/ 14/ 17/ 15
20_USA-road-d.NY.gr,0.0009989738464355469,9454.470000000001,1,2/ 8/ 17/ 9
2100_USA-road-d.BAY.gr,1.2170050144195557,72250.15999999999,0,1788/ 1956/ 1407/ 1914/ 939/ 771/ 1638/ 860/ 995/ 1692/ 861/ 581/ 559/ 888/ 1270/ 405/ 520/ 1962/ 1424/ 1913/ 2018/ 1948/ 1489/ 2070/ 2038
2100_USA-road-d.COL.gr,5.491757154464722,43998.7,0,88/ 1837/ 249/ 1007/ 172/ 967/ 178/ 555/ 482/ 1531/ 1043/ 1030/ 1430/ 1924/ 2048/ 2013
2100_USA-road-d.NY.gr,1.2099649906158447,123256.84999999999,1,1785/ 1756/ 1555/ 1850/ 1806/ 1240/ 579/ 324/ 360/ 396/ 1810/ 1828/ 1463/ 866/ 1068/ 442/ 1740/ 1108/ 617/ 1237/ 1943/ 646/ 1203/ 2042/ 2030/ 1582/ 1569/ 1092/ 635/ 1327/ 1927/ 1434/ 1974
2200_USA-road-d.BAY.gr,1.1512370109558105,80869.20999999999,2,1580/ 1641/ 1497/ 2187/ 1900/ 825/ 2043/ 1577/ 1692/ 1639/ 1960/ 2122/ 1272/ 414/ 1982/ 1340/ 1845/ 1965/ 2087/ 2018/ 2178/ 1489/ 1804/ 2177/ 2127/ 2073/ 2128/ 2179
2200_USA-road-d.COL.gr,6.4630560874938965,48962.93,0,88/ 1935/ 1353/ 212/ 361/ 833/ 2018/ 1932/ 1487/ 591/ 338/ 946/ 669/ 2006/ 1997/ 2033/ 2153
2200_USA-road-d.NY.gr,1.6847469806671143,119640.84999999999,2,1785/ 1756/ 1739/ 1850/ 1904/ 1824/ 1437/ 1163/ 360/ 1450/ 1810/ 856/ 1463/ 866/ 855/ 694/ 1740/ 1108/ 1248/ 1281/ 1431/ 1956/ 621/ 2042/ 1599/ 2021/ 625/ 1092/ 1869/ 648/ 1659/ 1927/ 1928/ 1974
2300_USA-road-d.BAY.gr,1.1966350078582764,77192.09999999999,0,1788/ 1456/ 1789/ 2090/ 939/ 1792/ 1097/ 1122/ 2026/ 2089/ 1639/ 581/ 1878/ 424/ 1673/ 510/ 1340/ 1409/ 2137/ 2087/ 2233/ 2178/ 1489/ 2230/ 2276/ 2300
2300_USA-road-d.COL.gr,6.570308208465576,50172.479999999996,0,88/ 238/ 701/ 536/ 904/ 2050/ 775/ 181/ 955/ 1330/ 1669/ 946/ 1882/ 2256/ 1410/ 2216/ 2299/ 2272
